"","words","total","word1","word2"
"117","not a",3311,"not","a"
"118","of a",15219,"of","a"
"119","of course",4073,"of","course"
"120","of his",5456,"of","his"
"121","of it",3205,"of","it"
"122","of my",7592,"of","my"
"123","of our",3720,"of","our"
"124","of the",82823,"of","the"
"125","of their",3700,"of","their"
"126","of them",3474,"of","them"
"127","of this",4504,"of","this"
"128","on a",9504,"on","a"
"129","on my",4403,"on","my"
"130","on the",35033,"on","the"
"131","one of",13264,"one","of"
"132","out of",9751,"out","of"
"133","out the",3187,"out","the"
"134","over the",6380,"over","the"
"135","part of",6032,"part","of"
"136","said he",3722,"said","he"
"137","said the",4733,"said","the"
"138","she said",3312,"she","said"
"139","she was",3826,"she","was"
"140","should be",3782,"should","be"
"141","so i",5824,"so","i"
"142","so much",4476,"so","much"
"143","some of",5541,"some","of"
"144","such as",3661,"such","as"
"145","thank you",4071,"thank","you"
"146","thanks for",4057,"thanks","for"
"147","that he",4934,"that","he"
"148","that i",10379,"that","i"
"149","that is",6188,"that","is"
"150","that it",4150,"that","it"
"151","that the",12193,"that","the"
"152","that they",3498,"that","they"
"153","that was",4068,"that","was"
"154","that we",3806,"that","we"
"155","that you",3682,"that","you"
"156","the best",5910,"the","best"
"157","the city",3509,"the","city"
"158","the day",3643,"the","day"
"159","the end",4358,"the","end"
"160","the first",10727,"the","first"
"161","the last",5081,"the","last"
"162","the most",5943,"the","most"
"163","the new",5701,"the","new"
"164","the next",4647,"the","next"
"165","the only",3907,"the","only"
"166","the other",5094,"the","other"
"167","the same",8884,"the","same"
"168","the state",3679,"the","state"
"169","the time",4807,"the","time"
"170","the us",3357,"the","us"
"171","the way",5067,"the","way"
"172","the world",5517,"the","world"
"173","there are",6359,"there","are"
"174","there is",6664,"there","is"
"175","there was",3605,"there","was"
"176","they are",6794,"they","are"
"177","they have",3191,"they","have"
"178","they were",4426,"they","were"
"179","this is",10517,"this","is"
"180","this year",4081,"this","year"
"181","through the",3958,"through","the"
"182","time to",4100,"time","to"
"183","to a",10471,"to","a"
"184","to be",28572,"to","be"
"185","to do",9898,"to","do"
"186","to find",3279,"to","find"
"187","to get",11623,"to","get"
"188","to go",6429,"to","go"
"189","to have",7070,"to","have"
"190","to help",3191,"to","help"
"191","to keep",3318,"to","keep"
"192","to make",8906,"to","make"
"193","to me",4373,"to","me"
"194","to my",3705,"to","my"
"195","to say",3840,"to","say"
"196","to see",7989,"to","see"
"197","to take",4827,"to","take"
"198","to the",39428,"to","the"
"199","to work",3202,"to","work"
"200","trying to",5276,"trying","to"
"201","up the",3375,"up","the"
"202","up to",4693,"up","to"
"203","up with",3107,"up","with"
"204","want to",10467,"want","to"
"205","wanted to",3657,"wanted","to"
"206","was a",10521,"was","a"
"207","was the",5861,"was","the"
"208","way to",3952,"way","to"
"209","we are",6031,"we","are"
"210","we have",5531,"we","have"
"211","we were",3415,"we","were"
"212","what i",4003,"what","i"
"213","when he",3263,"when","he"
"214","when i",7281,"when","i"
"215","when the",4364,"when","the"
"216","when you",3962,"when","you"
"217","which is",3892,"which","is"
"218","will be",13762,"will","be"
"219","with a",15608,"with","a"
"220","with my",3346,"with","my"
"221","with the",20142,"with","the"
"222","would be",7846,"would","be"
"223","would have",4046,"would","have"
"224","you are",6330,"you","are"
"225","you can",8320,"you","can"
"226","you have",6402,"you","have"
"227","you know",3962,"you","know"
