"Dates","Category","Descript","DayOfWeek","PdDistrict","Resolution","Address","X","Y"
"2015-05-11 18:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Monday","SOUTHERN","NONE","800 Block of BRYANT ST",-122.403404791479,37.775420706711
"2015-05-11 14:49:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Monday","SOUTHERN","ARREST, BOOKED","1500 Block of MISSION ST",-122.417975390351,37.7737509379648
"2015-05-11 12:00:00","PROSTITUTION","HUMAN TRAFFICKING","Monday","BAYVIEW","NONE","200 Block of WILLIAMS AV",-122.397744427103,37.7299346936044
"2015-05-11 10:47:00","WARRANTS","WARRANT ARREST","Monday","TARAVAL","ARREST, BOOKED","300 Block of RANDOLPH ST",-122.465757150563,37.7142285364699
"2015-05-11 04:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Monday","NORTHERN","NONE","2800 Block of SCOTT ST",-122.440398084753,37.7959973657205
"2015-05-03 23:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Sunday","CENTRAL","NONE","STOCKTON ST / NORTHPOINT ST",-122.410500605559,37.8069630725944
"2015-05-03 19:20:00","VANDALISM","MALICIOUS MISCHIEF, GRAFFITI","Sunday","PARK","NONE","SHRADER ST / PAGE ST",-122.452055909383,37.770311544715
"2015-05-03 17:11:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Sunday","RICHMOND","NONE","GEARY BL / 4TH AV",-122.462141270182,37.7811098899332
"2015-05-03 16:00:00","VANDALISM","MALICIOUS MISCHIEF, TIRE SLASHING","Sunday","SOUTHERN","NONE","800 Block of BRYANT ST",-122.403404791479,37.775420706711
"2015-05-03 13:13:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Sunday","TENDERLOIN","ARREST, BOOKED","EDDY ST / MASON ST",-122.409313111431,37.7843478513151
"2015-05-03 13:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Sunday","TARAVAL","NONE","9TH AV / LINCOLN WY",-122.466442684206,37.7659245297691
"2015-05-03 12:36:00","WARRANTS","WARRANT ARREST","Sunday","TENDERLOIN","ARREST, BOOKED","LARKIN ST / FULTON ST",-122.416769999704,37.7795845776674
"2015-05-03 09:12:00","WARRANTS","WARRANT ARREST","Sunday","TENDERLOIN","NONE","OFARRELL ST / POWELL ST",-122.408040474858,37.7864094033618
"2015-05-03 08:37:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Sunday","CENTRAL","ARREST, BOOKED","1300 Block of STOCKTON ST",-122.408646942187,37.7981171266965
"2015-05-03 01:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Sunday","NORTHERN","NONE","2100 Block of LOMBARD ST",-122.436863337604,37.7996199689993
"2015-05-03 00:05:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Sunday","BAYVIEW","NONE","300 Block of BAY SHORE BL",-122.406825183678,37.741054981526
"2015-05-02 23:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Saturday","NORTHERN","NONE","1200 Block of SUTTER ST",-122.420963777385,37.7877046348578
"2015-05-02 23:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Saturday","SOUTHERN","NONE","MISSION ST / 4TH ST",-122.404270179486,37.7844788538745
"2015-05-02 21:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Saturday","NORTHERN","NONE","2100 Block of VANNESS AV",-122.423492487188,37.7952630264552
"2015-05-02 19:15:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Saturday","SOUTHERN","ARREST, BOOKED","3RD ST / BRANNAN ST",-122.394304475194,37.7800905305924
"2015-05-02 17:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Saturday","SOUTHERN","NONE","1100 Block of MISSION ST",-122.411723778126,37.7786674439132
"2015-05-02 17:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Saturday","CENTRAL","NONE","JONES ST / JACKSON ST",-122.414827574895,37.7949878341783
"2015-05-02 13:30:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Saturday","MISSION","NONE","2800 Block of MISSION ST",-122.418434028318,37.7514199300011
"2015-05-02 10:30:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Saturday","RICHMOND","ARREST, BOOKED","CLEMENT ST / 20TH AV",-122.479514982337,37.7822588572421
"2015-05-02 04:30:00","WARRANTS","WARRANT ARREST","Saturday","PARK","ARREST, BOOKED","700 Block of CORBETT AV",-122.442549683962,37.7543380181766
"2015-05-02 03:21:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Saturday","BAYVIEW","NONE","900 Block of WOOLSEY ST",-122.410980381356,37.7229894898384
"2015-05-02 02:51:00","VANDALISM","VANDALISM OR GRAFFITI TOOLS, POSSESSION","Saturday","SOUTHERN","NONE","200 Block of 8TH ST",-122.411386799517,37.7759688121016
"2015-05-02 02:35:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Saturday","TENDERLOIN","ARREST, BOOKED","100 Block of HYDE ST",-122.415669661443,37.7821198488931
"2015-05-01 22:10:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Friday","NORTHERN","NONE","CHURCH ST / DUBOCE AV",-122.429128783477,37.7694556178593
"2015-05-01 16:45:00","VANDALISM","MALICIOUS MISCHIEF, BREAKING WINDOWS","Friday","INGLESIDE","NONE","0 Block of SANTOS ST",-122.418817195052,37.7113157442054
"2015-05-01 16:44:00","WARRANTS","WARRANT ARREST","Friday","TARAVAL","ARREST, BOOKED","1900 Block of 19TH AV",-122.476096065298,37.7514328843776
"2015-05-01 11:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Friday","NORTHERN","NONE","2300 Block of PACIFIC AV",-122.433937829234,37.7935046331695
"2015-05-01 10:55:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Friday","MISSION","ARREST, BOOKED","200 Block of DORLAND ST",-122.429567892224,37.7620293003384
"2015-05-01 08:23:00","WARRANTS","WARRANT ARREST","Friday","TENDERLOIN","ARREST, BOOKED","LEAVENWORTH ST / ELLIS ST",-122.414433155063,37.7846576329256
"2015-05-01 07:00:00","WARRANTS","ENROUTE TO DEPARTMENT OF CORRECTIONS","Friday","MISSION","ARREST, BOOKED","2000 Block of MISSION ST",-122.419520367886,37.764228935718
"2015-05-01 00:01:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Friday","SOUTHERN","NONE","1600 Block of FOLSOM ST",-122.415280831397,37.7702324461737
"2015-04-30 23:55:00","PROSTITUTION","SOLICITS FOR ACT OF PROSTITUTION","Thursday","NORTHERN","ARREST, BOOKED","1500 Block of VANNESS AV",-122.422062730264,37.7899200014841
"2015-04-30 23:00:00","VANDALISM","MALICIOUS MISCHIEF, BREAKING WINDOWS","Thursday","TARAVAL","NONE","1200 Block of 9TH AV",-122.46630620635,37.7649657627052
"2015-04-30 22:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Thursday","MISSION","ARREST, BOOKED","300 Block of BARTLETT ST",-122.419408045677,37.7513609637505
"2015-04-30 20:22:00","PROSTITUTION","LOITERING FOR PURPOSE OF PROSTITUTION","Thursday","NORTHERN","ARREST, BOOKED","1500 Block of VANNESS AV",-122.422062730264,37.7899200014841
"2015-04-30 20:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Thursday","BAYVIEW","NONE","1000 Block of LECONTE AV",-122.39800417734,37.7190331787318
"2015-04-30 19:51:00","PROSTITUTION","LOITERING FOR PURPOSE OF PROSTITUTION","Thursday","NORTHERN","ARREST, BOOKED","1500 Block of VANNESS AV",-122.422062730264,37.7899200014841
"2015-04-30 19:20:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Thursday","BAYVIEW","NONE","700 Block of INNES AV",-122.372926079722,37.7304599610397
"2015-04-30 19:13:00","WARRANTS","WARRANT ARREST","Thursday","MISSION","ARREST, BOOKED","200 Block of SHOTWELL ST",-122.416374835778,37.7644225165568
"2015-04-30 19:04:00","PROSTITUTION","SOLICITS FOR ACT OF PROSTITUTION","Thursday","NORTHERN","ARREST, BOOKED","1500 Block of VANNESS AV",-122.422062730264,37.7899200014841
"2015-04-30 17:19:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Thursday","MISSION","ARREST, BOOKED","0 Block of WIESE ST",-122.420629159814,37.7658091937535
"2015-04-30 15:38:00","PROSTITUTION","LOITERING FOR PURPOSE OF PROSTITUTION","Thursday","NORTHERN","ARREST, BOOKED","1500 Block of VANNESS AV",-122.422062730264,37.7899200014841
"2015-04-30 14:55:00","PROSTITUTION","SOLICITS FOR ACT OF PROSTITUTION","Thursday","NORTHERN","ARREST, BOOKED","1500 Block of VANNESS AV",-122.422062730264,37.7899200014841
"2015-04-30 12:45:00","PROSTITUTION","DISORDERLY HOUSE, KEEPING","Thursday","INGLESIDE","NONE","0 Block of CURTIS ST",-122.439819026647,37.714105192098
"2015-04-30 12:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Thursday","TARAVAL","NONE","2200 Block of 48TH AV",-122.507031438787,37.7444579146653
"2015-04-30 10:49:00","WARRANTS","WARRANT ARREST","Thursday","MISSION","ARREST, BOOKED","13TH ST / MISSION ST",-122.420010175609,37.7701099298175
"2015-04-30 10:49:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Thursday","MISSION","ARREST, BOOKED","13TH ST / MISSION ST",-122.420010175609,37.7701099298175
"2015-04-30 00:31:00","WARRANTS","WARRANT ARREST","Thursday","MISSION","ARREST, BOOKED","100 Block of CAPP ST",-122.418549940195,37.7642837095036
"2015-04-29 20:49:00","VANDALISM","MALICIOUS MISCHIEF, BREAKING WINDOWS","Wednesday","RICHMOND","NONE","5700 Block of GEARY BL",-122.481003317121,37.7803821307757
"2015-04-29 18:49:00","WARRANTS","WARRANT ARREST","Wednesday","MISSION","ARREST, BOOKED","1900 Block of MISSION ST",-122.41967661615,37.7658510977435
"2015-04-29 18:10:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Wednesday","SOUTHERN","NONE","900 Block of MISSION ST",-122.40805253847,37.7815668300024
"2015-04-29 17:25:00","WARRANTS","WARRANT ARREST","Wednesday","CENTRAL","ARREST, BOOKED","800 Block of POST ST",-122.41584375719,37.7874017655636
"2015-04-29 16:32:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Wednesday","TARAVAL","ARREST, BOOKED","1600 Block of HOLLOWAY AV",-122.478278206332,37.7209451616295
"2015-04-28 15:15:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Tuesday","PARK","ARREST, BOOKED","300 Block of BAKER ST",-122.440949589926,37.7741190407726
"2015-04-28 10:28:00","WARRANTS","WARRANT ARREST","Tuesday","CENTRAL","ARREST, BOOKED","400 Block of PACIFIC AV",-122.402492067615,37.797502719962
"2015-04-28 09:37:00","WARRANTS","WARRANT ARREST","Tuesday","BAYVIEW","ARREST, BOOKED","17TH ST / MISSOURI ST",-122.396774160338,37.7651296428012
"2015-04-28 01:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Tuesday","BAYVIEW","NONE","900 Block of MINNESOTA ST",-122.390400000758,37.759108682594
"2015-04-28 00:01:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Tuesday","BAYVIEW","NONE","2000 Block of THOMAS AV",-122.39958770419,37.7350510103906
"2015-04-27 23:14:00","WARRANTS","ENROUTE TO DEPARTMENT OF CORRECTIONS","Monday","RICHMOND","ARREST, BOOKED","GEARY BL / 33RD AV",-122.49329712989,37.7796862364357
"2015-04-27 19:35:00","WARRANTS","WARRANT ARREST","Monday","NORTHERN","ARREST, BOOKED","GOLDEN GATE AV / WEBSTER ST",-122.430234565273,37.7797824261683
"2015-04-27 19:15:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Monday","CENTRAL","ARREST, BOOKED","JEFFERSON ST / JONES ST",-122.417448570419,37.8080122538321
"2015-04-27 18:47:00","WARRANTS","WARRANT ARREST","Monday","SOUTHERN","ARREST, BOOKED","400 Block of MINNA ST",-122.407387172098,37.7810688918781
"2015-04-27 12:50:00","WARRANTS","WARRANT ARREST","Monday","INGLESIDE","ARREST, BOOKED","100 Block of BROOKDALE AV",-122.423098270217,37.7103045151288
"2015-04-27 04:45:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Monday","BAYVIEW","NONE","1900 Block of OAKDALE AV",-122.396854743097,37.7383701754053
"2015-04-27 04:24:00","WARRANTS","ENROUTE TO PROBATION OFFICER","Monday","NORTHERN","ARREST, BOOKED","400 Block of GROVE ST",-122.42401415202,37.7777607151399
"2015-04-19 22:30:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Sunday","NORTHERN","NONE","LAGUNA ST / GEARY BL",-122.427991151911,37.7849531241612
"2015-04-19 20:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Sunday","RICHMOND","NONE","400 Block of 7TH AV",-122.465211313474,37.779988809111
"2015-04-19 19:01:00","WARRANTS","WARRANT ARREST","Sunday","TENDERLOIN","NONE","LEAVENWORTH ST / TURK ST",-122.414056291891,37.7827931071006
"2015-04-19 19:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Sunday","MISSION","NONE","20TH ST / FOLSOM ST",-122.414693065257,37.7588955947572
"2015-04-19 18:30:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Sunday","SOUTHERN","NONE","4TH ST / FOLSOM ST",-122.401161555602,37.7820238478975
"2015-04-19 16:28:00","WARRANTS","WARRANT ARREST","Sunday","TENDERLOIN","ARREST, BOOKED","LEAVENWORTH ST / TURK ST",-122.414056291891,37.7827931071006
"2015-04-19 14:51:00","WARRANTS","WARRANT ARREST","Sunday","CENTRAL","ARREST, BOOKED","STOCKTON ST / UNION ST",-122.409193904616,37.8004438751053
"2015-04-19 12:01:00","WARRANTS","POST RELEASE COMMUNITY SUPERVISION","Sunday","SOUTHERN","ARREST, BOOKED","800 Block of BRYANT ST",-122.403404791479,37.775420706711
"2015-04-19 11:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Sunday","NORTHERN","NONE","3800 Block of SCOTT ST",-122.442305113045,37.8053982225285
"2015-04-19 03:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Sunday","SOUTHERN","NONE","800 Block of MISSION ST",-122.404636264759,37.7842645474624
"2015-04-19 01:00:00","VANDALISM","MALICIOUS MISCHIEF, BREAKING WINDOWS","Sunday","SOUTHERN","NONE","700 Block of 3RD ST",-122.392237353343,37.7785204661785
"2015-04-18 23:51:00","WARRANTS","WARRANT ARREST","Saturday","MISSION","ARREST, BOOKED","16TH ST / MISSION ST",-122.419671780296,37.7650501214668
"2015-04-18 23:40:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Saturday","BAYVIEW","NONE","200 Block of CAMERON WY",-122.38880879144,37.7198574230894
"2015-04-18 22:09:00","WARRANTS","WARRANT ARREST","Saturday","MISSION","ARREST, BOOKED","1000 Block of POTRERO AV",-122.406539115148,37.7564864109309
"2015-04-18 22:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Saturday","INGLESIDE","NONE","0 Block of PARK ST",-122.424836824804,37.7367285261242
"2015-04-18 21:56:00","WARRANTS","WARRANT ARREST","Saturday","SOUTHERN","ARREST, BOOKED","500 Block of 5TH ST",-122.39998111124,37.7776242389287
"2015-04-18 19:55:00","WARRANTS","WARRANT ARREST","Saturday","BAYVIEW","ARREST, BOOKED","2200 Block of 22ND ST",-122.403889261788,37.7570580445463
"2015-04-18 17:11:00","VANDALISM","VANDALISM OR GRAFFITI TOOLS, POSSESSION","Saturday","MISSION","ARREST, BOOKED","1200 Block of VALENCIA ST",-122.420806049169,37.7528840217529
"2015-04-18 13:30:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Saturday","NORTHERN","NONE","FELL ST / LAGUNA ST",-122.426071405986,37.775524118166
"2015-04-18 11:50:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Saturday","INGLESIDE","NONE","0 Block of SAINT MARYS AV",-122.428762543139,37.7353476552995
"2015-04-18 05:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Saturday","SOUTHERN","NONE","FREELON ST / 4TH ST",-122.397066698493,37.7787523253223
"2015-04-17 21:55:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Friday","SOUTHERN","NONE","3RD ST / CHANNEL ST",-122.389898139551,37.7748981937461
"2015-04-17 14:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Friday","INGLESIDE","NONE","0 Block of BLYTHDALE AV",-122.417678812123,37.7107672954351
"2015-04-17 14:00:00","WARRANTS","WARRANT ARREST","Friday","SOUTHERN","ARREST, BOOKED","5TH ST / MARKET ST",-122.408068345148,37.7839916768161
"2015-04-17 10:35:00","WARRANTS","WARRANT ARREST","Friday","INGLESIDE","ARREST, BOOKED","EXCELSIOR AV / MADRID ST",-122.430454305169,37.7247247919011
"2015-04-17 04:01:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Friday","PARK","NONE","1900 Block of HAYES ST",-122.448511700788,37.7735725810079
"2015-04-17 02:08:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Friday","INGLESIDE","ARREST, BOOKED","200 Block of COLLEGE AV",-122.424262834115,37.7349497744655
"2015-04-17 01:50:00","WARRANTS","WARRANT ARREST","Friday","TARAVAL","ARREST, BOOKED","TARAVAL ST / 19TH AV",-122.475644251197,37.7430505534925
"2015-04-16 19:36:00","WARRANTS","WARRANT ARREST","Thursday","TENDERLOIN","ARREST, BOOKED","100 Block of OFARRELL ST",-122.407244087032,37.7865647607685
"2015-04-16 18:40:00","WARRANTS","WARRANT ARREST","Thursday","SOUTHERN","ARREST, BOOKED","0 Block of UNITEDNATIONS PZ",-122.414317857881,37.7799444052046
"2015-04-16 17:40:00","WARRANTS","WARRANT ARREST","Thursday","NORTHERN","ARREST, BOOKED","2100 Block of POLK ST",-122.421798040888,37.7964404207928
"2015-04-16 17:20:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Thursday","MISSION","NONE","2000 Block of MISSION ST",-122.41965834371,37.7642205603745
"2015-04-16 14:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Thursday","INGLESIDE","NONE","500 Block of WILDE AV",-122.407795273459,37.7179056645046
"2015-04-16 11:02:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Thursday","SOUTHERN","ARREST, BOOKED","200 Block of 11TH ST",-122.414647523858,37.7724423373209
"2015-04-16 10:40:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Thursday","CENTRAL","NONE","300 Block of BATTERY ST",-122.400265230387,37.7943597193806
"2015-04-16 09:40:00","VANDALISM","MALICIOUS MISCHIEF, BREAKING WINDOWS","Thursday","TENDERLOIN","ARREST, BOOKED","300 Block of TURK ST",-122.41487855905,37.7826335031541
"2015-04-16 04:00:00","VANDALISM","MALICIOUS MISCHIEF, BREAKING WINDOWS","Thursday","NORTHERN","NONE","800 Block of POLK ST",-122.419480276468,37.7842697641002
"2015-04-16 00:01:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Thursday","TARAVAL","NONE","LINCOLN WY / 43RD AV",-122.50297457672,37.7643095016705
"2015-04-15 23:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Wednesday","SOUTHERN","NONE","1100 Block of HOWARD ST",-122.410808935375,37.7769299138691
"2015-04-15 21:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Wednesday","NORTHERN","NONE","1000 Block of POLK ST",-122.419858277339,37.786137125238
"2015-04-15 20:10:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Wednesday","TARAVAL","NONE","1900 Block of 29TH AV",-122.487055899123,37.7509494468209
"2015-04-15 19:46:00","WARRANTS","WARRANT ARREST","Wednesday","MISSION","ARREST, BOOKED","24TH ST / ORANGE ST",-122.420085439587,37.7521383342809
"2015-04-15 19:46:00","VANDALISM","MALICIOUS MISCHIEF, GRAFFITI","Wednesday","MISSION","ARREST, BOOKED","24TH ST / ORANGE ST",-122.420085439587,37.7521383342809
"2015-04-15 18:45:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Wednesday","INGLESIDE","NONE","200 Block of 29TH ST",-122.425554815102,37.7438223420256
"2015-04-15 14:15:00","WARRANTS","WARRANT ARREST","Wednesday","BAYVIEW","ARREST, BOOKED","GILMAN AV / HAWES ST",-122.390019844731,37.7192987552628
"2015-04-15 11:37:00","WARRANTS","WARRANT ARREST","Wednesday","TARAVAL","ARREST, BOOKED","2200 Block of 16TH AV",-122.472878708666,37.7459619821889
"2015-04-15 09:56:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Wednesday","CENTRAL","ARREST, BOOKED","1300 Block of PINE ST",-122.418050744324,37.7899896643167
"2015-04-15 08:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Wednesday","TARAVAL","NONE","1400 Block of 45TH AV",-122.504720749439,37.7595242680732
"2015-04-15 07:42:00","WARRANTS","WARRANT ARREST","Wednesday","NORTHERN","ARREST, BOOKED","1800 Block of UNION ST",-122.429741294345,37.7977645712284
"2015-04-15 00:01:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Wednesday","CENTRAL","NONE","900 Block of PINE ST",-122.411643005339,37.7908072518613
"2015-04-14 23:10:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Tuesday","TARAVAL","ARREST, BOOKED","2200 Block of NORIEGA ST",-122.487730080606,37.7536894274509
"2015-04-14 22:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Tuesday","BAYVIEW","NONE","20TH ST / CAROLINA ST",-122.400146296869,37.7597930214077
"2015-04-14 20:34:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Tuesday","MISSION","ARREST, BOOKED","1800 Block of MISSION ST",-122.419832890144,37.7674625261825
"2015-04-14 18:10:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Tuesday","SOUTHERN","ARREST, BOOKED","0 Block of BAYSIDEVILLAGE PL",-122.3896594129,37.7848807205949
"2015-04-14 17:45:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Tuesday","CENTRAL","NONE","1700 Block of MONTGOMERY ST",-122.405335548621,37.8052300434009
"2015-04-14 17:30:00","VANDALISM","MALICIOUS MISCHIEF, BREAKING WINDOWS","Tuesday","SOUTHERN","NONE","100 Block of 8TH ST",-122.41243633288,37.7768049355219
"2015-04-14 17:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Tuesday","TARAVAL","NONE","100 Block of CAINE AV",-122.451757085935,37.7157328825448
"2015-04-14 15:20:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Tuesday","RICHMOND","NONE","400 Block of ARGUELLO BL",-122.458857560736,37.7822000723138
"2015-04-14 14:00:00","WARRANTS","WARRANT ARREST","Tuesday","TENDERLOIN","ARREST, BOOKED","100 Block of GOLDEN GATE AV",-122.413069926397,37.7820204255866
"2015-04-14 13:15:00","VANDALISM","MALICIOUS MISCHIEF, GRAFFITI","Tuesday","MISSION","NONE","600 Block of VALENCIA ST",-122.421747650463,37.7627436601147
"2015-04-14 10:10:00","WARRANTS","WARRANT ARREST","Tuesday","SOUTHERN","ARREST, CITED","800 Block of BRYANT ST",-122.403404791479,37.775420706711
"2015-04-14 09:43:00","WARRANTS","WARRANT ARREST","Tuesday","MISSION","ARREST, BOOKED","18TH ST / CASTRO ST",-122.435002864298,37.7608878061194
